Date_Time,Pickup_Location,Drop_Location,Distance_km,Fare_INR,No_of_Passengers,Travel_Time_hrs,Tips_INR,Tourist_Place_Nearby,Weather_Condition,Vehicle_Type
25-10-2011 22:58,Namakkal,Krishnagiri,66,1076,6,1,113,Krishnagiri Dam,Windy,Hatchback
03-01-2014 10:11,Ramanathapuram,Nagapattinam,0,1298,4,3,172,Velankanni Church,Rainy,SUV
26-07-2011 10:06,Tirunelveli,Thanjavur,122,1870,1,2,169,Brihadeeswara Temple,Rainy,Auto
25-08-2011 19:16,Karur,Namakkal,177,2828,3,3,0,Namakkal Fort,Rainy,SUV
07-08-2013 18:29,Namakkal,Theni,281,4101,0,6,433,Suruli Falls,Windy,SUV
10-12-2017 18:11,Pudukkottai,Dharmapuri,257,3265,1,4,0,Hogenakkal Falls,Windy,Hatchback
18-05-2013 03:02,Chennai,Tiruppur,220,3318,3,3,0,Sivanmalai Murugan Temple,Windy,Mini Van
06-02-2018 22:29,Madurai,Tiruppur,223,3509,0,5,411,Sivanmalai Murugan Temple,Cloudy,Hatchback
04-07-2012 18:30,Villupuram,Dharmapuri,86,1076,5,2,0,Hogenakkal Falls,Sunny,SUV
20-08-2015 10:01,Krishnagiri,Salem,259,4342,6,4,256,Yercaud,Sunny,Hatchback
17-12-2011 23:09,Nagapattinam,Kanyakumari,184,0,3,3,395,Vivekananda Rock,Windy,Sedan
10-09-2012 07:43,Namakkal,Cuddalore,202,3560,6,5,422,Silver Beach,Rainy,Hatchback
13-11-2015 18:45,Dharmapuri,Thanjavur,193,3286,5,4,0,Brihadeeswara Temple,Rainy,Auto
15-12-2016 23:06,Kanyakumari,Ramanathapuram,0,315,1,1,0,Rameswaram,Windy,Auto
11-12-2011 18:40,Dharmapuri,Pudukkottai,212,2648,1,6,0,Sacred Heart Church,Cloudy,Hatchback
01-01-2010 05:07,Sivaganga,Nagapattinam,146,2244,4,3,199,Velankanni Church,Sunny,Mini Van
